SAMPLE_NAME;ROCK1;SIO2_pct;TIO2_pct;AL2O3_pct;FEOT_pct;CAO_pct;MGO_pct;MNO_pct;K2O_pct;NA2O_pct;P2O5_pct
S01045;KOMATIITE;44.8;0.31;6.5;11.78;1.14;27.2;0.22;0;0;0.03
S01046;ANDESITE;52.59;1.16;17.3;7.9;10.65;5.75;0.17;0.11;3.34;0.08
S01047;ANDESITE;52.85;1.29;15.9;10.13;11.89;5.89;0.36;0.04;0.86;0.1
S01048;GABBRO;51.08;0.37;17.46;7.24;11.18;9.57;0.12;0.04;1.92;0.04
S01049;BASALT;46.44;0.59;9.85;12.44;9.3;16.17;0.22;0.06;0.85;0.05
S01050;ANDESITE;57.86;0.77;18.06;;5.28;3.79;0.17;0.26;5.6;0.2
S01051;GABBRO;42.5;0.36;17.9;;10.4;12.4;0.16;0.24;1.28;0.06
S01052;KOMATIITE;41;0.27;4.99;;1.82;32.4;0.15;0.08;0.1;0.04
S01053;BASALT;45.7;0.49;9.91;;8.01;18.1;0.21;0.07;1.46;0.06
S01054;THOLEIITE;51;0.7;12.8;;9.06;9.89;0.15;0.55;2.3;0.09
S01055;THOLEIITE;51.3;0.76;13;;8.32;8.42;0.17;0.28;3.8;0.1
S01056;KOMATIITE;36.5;0.15;1.94;;0.04;37.1;0.13;0;0;0.04
S01057;KOMATIITE;32.4;0.81;0.83;;0.63;35.8;0.07;0;0.01;0.03
S01058;THOLEIITE;46.5;2.08;13.1;;9.11;5.15;0.26;0.47;2.37;0.27
S01059;BASALT;46.7;0.62;10.2;;7.84;15.5;0.19;0.03;1.75;0.09
S01060;THOLEIITE;48.9;1.45;12.9;;9.1;5.15;0.2;0.43;2.07;0.12
S01061;BASALT;47.3;0.72;13.1;;12.1;10.4;0.19;0.1;1.51;0.09
S01062;BASALT;50.3;0.7;12.5;;9.13;9.99;0.17;0.09;2.98;0.09
S01063;KOMATIITE;37.2;0.1;1.24;;0.06;39.3;0.08;0;0;0.04
S01064;KOMATIITE;35.7;0.73;5.37;;0.15;35.8;0.49;0.01;0.02;0.07
S01065;KOMATIITE;44.5;0.59;8.26;;8.12;21.7;0.14;0.02;0.51;0.05
S01066;KOMATIITE;49;0.26;4.66;;11.1;21.4;0.12;0.01;0.3;0.05
S01067;KOMATIITE;40.8;0.31;4.8;;5.67;27.3;0.19;0.03;0.24;0.05
S01068;KOMATIITE;42.9;0.29;5.15;;8.93;24.4;0.12;0.01;0.18;0.05
S01069;GABBRO;48.5;0.69;14.4;;13;9.64;0.16;0.15;2.43;0.08
S01070;RHYOLITE;77.55;0.21;10.7;4.52;1.55;2.11;0.29;2.62;0.42;4.03
S01071;RHYOLITE;80.72;0.17;8.14;3.24;3.22;0.75;0.11;1.06;2.57;0.02
S01072;RHYOLITE;84.34;0.2;9.2;1;0.81;0.29;0.04;1.15;2.95;0.02
S01073;RHYOLITE;74.93;0.35;11.99;3.29;2.84;0.92;0.08;1.05;4.49;0.04
S01074;RHYOLITE;75.8;0.31;10.89;2.71;3.37;1.16;0.07;0.73;4.91;0.04
S01075;RHYOLITE;77.05;0.31;12.08;1.56;1.93;0.41;0.04;0.65;5.93;0.05
S01076;DACITE;80.28;0.52;13.42;1.75;0.14;0.9;0;2.9;0;0.09
S01077;RHYOLITE;77.73;0.35;12.97;2.34;1.37;1.13;0.08;2.86;1.12;0.05
S01078;RHYOLITE;81.94;0.22;9.49;3.38;0.44;2.78;0.09;1.61;0;0.03
S01079;RHYOLITE;58.26;0.48;21.75;6.25;1.45;7.32;0.17;3.84;0.41;0.05
S01080;RHYOLITE;54.61;0.28;13.14;27.6;0.43;0.34;0.01;2.4;1.18;0.04
S01081;RHYOLITE;78.26;0.18;9.47;4.22;3.43;1.65;0.08;2.13;0.57;0.01
S01082;RHYOLITE;71.65;0.39;17.41;4.58;0.48;0.51;0;3.64;1.32;0.03
S01083;RHYOLITE;69.57;0.41;20.04;2.94;0.45;0.48;0;3.9;2.15;0.05
S01084;ANDESITE;56.74;0.81;17.62;7.5;6.16;6.02;0.02;0.23;3.76;0.11
S01085;ANDESITE;56.36;0.96;17.4;7.95;6.97;4.73;0.15;0.3;3.79;0.15
S01086;RHYOLITE;77.16;0.24;12.54;2.75;0.56;1.34;0.01;0.66;4.52;0.04
S01087;ANDESITE;52;0.68;14.14;24.38;0.71;4.2;0.15;0;0;0.11
S01088;ANDESITE;42.83;0.85;16.72;26.83;0.41;6.2;0.11;0.12;0;0.14
S01089;ANDESITE;20.64;0.93;19.22;38.61;2.27;7.68;0.3;0;0;0.16
S01090;ANDESITE;22.58;0.95;20.54;39.43;0.65;7.07;0.2;0;0.07;0.06
S01091;ANDESITE;53.38;0.69;14.04;23.68;0.38;4.59;0.08;0;0;0.1
S01092;ANDESITE;49.94;0.75;15.07;25.37;0.3;4.82;0.09;0;0;0.09
S01093;ANDESITE;55.06;0.57;13.03;21.78;0.11;5.09;0.09;0;0;0.08
S01094;ANDESITE;56.27;0.64;13.8;21.42;0.09;4.83;0.05;0;0;0.07
S01095;ANDESITE;61.74;0.5;10.47;19.26;0.16;3.54;0.3;0.04;0;0.05
S01096;ANDESITE;55.57;0.52;14.05;21.14;0.28;5.4;0.09;0;0;0.03
S01097;ANDESITE;39.05;0.71;20.04;26.72;0.36;9.82;0.14;0;0;0.05
S01098;ANDESITE;57.31;0.62;13.93;19.65;0.07;6.08;0.08;0;0;0.05
S01099;ANDESITE;58.88;0.89;14.31;17.64;0.04;5.74;0.07;0.41;0;0.04
S01100;ANDESITE;61.97;0.56;12.59;16.98;0.23;5.46;0.09;0.03;0;0.06
S01101;ANDESITE;57.42;0.59;15.9;20.02;0.28;3.42;0;0.04;0.05;0.06
S01102;ANDESITE;61.77;0.99;19.84;7.55;0.62;4.09;0;3.67;0.49;0.09
S01103;ANDESITE;65.25;1.01;19.97;5.88;0.27;1.67;0;4.97;0.25;0.1
S01104;ANDESITE;61.61;1.04;22.45;6.16;0.27;2.29;0;5.12;0.25;0.11
S01105;ANDESITE;56.27;1.57;14.3;18.8;1.32;5.26;0.2;0.83;1.21;0.22
S01106;RHYOLITE;78.75;0.28;10.61;2.76;0.25;1.7;0.07;0.12;5.41;0.05
S01107;RHYOLITE;72.18;0.58;13.31;6.18;0.26;3.5;0.1;1.74;2;0.14
S01108;DACITE;62.36;1.2;16.44;8.46;5.45;4.92;0.12;0.16;0.71;0.18
S01109;RHYOLITE;73.69;0.33;12.24;6.85;0.56;1.54;0.15;1.22;3.33;0.08
